productId,isActive,customId,title,series,model,manufacturer,brand,qtyInStock,mrp,description,productUrl,expectedDeliveryInDays,returnProductInDays,mainImage,tags,hsn,sku,barcode,srp,costPrice,warrantyDuration,weightValue,isTrackQty,isPhysicalProduct,isSellEvenOutStock,,,
62da57fe863ba7c37a13221c,TRUE,2743,Dovel Spirit Wall Hung Basin (White),WALL HUNG BASIN,SPIRIT,DOVEL,62834e7eaff84f6680ff9665,1000,1260,L 410 W 325 H 150 mm,dovel-spirit-wall-hung-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Spirit Wall Hung Basin (White).jpg,,,,,1260,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a13221d,TRUE,2744,Dovel Recta Wall Hung Basin (White),WALL HUNG BASIN,RECTA,DOVEL,62834e7eaff84f6680ff9665,1000,1250,L 420 W 275 H 165 mm,dovel-recta-wall-hung-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Recta Wall Hung Basin (White).jpg,,,,,1050,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a13221e,TRUE,2745,Dovel Spark Wall Hung Basin (White),WALL HUNG BASIN,SPARK,DOVEL,62834e7eaff84f6680ff9665,1000,1100,L 465 W 345 H 130 mm,dovel-spark-wall-hung-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Spark Wall Hung Basin (White).jpg,,,,,1100,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a13221f,TRUE,2746,Dovel Vito Wall Hung Water Closet With Slim Seat Cover (White),WATER CLOSET,VITO,DOVEL,62834e7eaff84f6680ff9665,1000,6000,L 505 W 375 H 335 mm,dovel-vito-wall-hung-closet-white-,2,7,uploads/catalog/product/DOVEL/Dovel Vito Wall Hung Toilet (White).jpg,,,,,0,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132220,TRUE,2747,Dovel Civic Wall Hung Water Closet (White),WATER CLOSET,CIVIC,DOVEL,62834e7eaff84f6680ff9665,1000,4000,L 515 W 365 H 360 mm,dovel-civic-wall-hung-closet-white-,2,7,uploads/catalog/product/DOVEL/Dovel Civic Wall Hung Toilet (White).jpg,,,,,3750,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132221,TRUE,2748,Dovel Ultra Wall Hung Water Closet (White),WATER CLOSET,ULTRA,DOVEL,62834e7eaff84f6680ff9665,1000,5600,L 475 W 355 H 330 mm,dovel-ultra-wall-hung-closet-white-,2,7,uploads/catalog/product/DOVEL/Dovel Ultra Wall Hung Toilet (White).jpg,,,,,5600,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132222,TRUE,2749,Dovel Olive Wall Hung Water Closet With Slim Seat Cover (White),WATER CLOSET,OLIVE,DOVEL,62834e7eaff84f6680ff9665,1000,8000,L 523 W 350 H 330 mm,dovel-olive-wall-hung-closet-white-,2,7,uploads/catalog/product/DOVEL/Dovel Olive Wall Hung Toilet (White).jpg,,,,,0,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132223,TRUE,2750,Dovel Solar Wall Hung Water Closet (White),WATER CLOSET,SOLAR,DOVEL,62834e7eaff84f6680ff9665,1000,3750,L 485 W 355 H 320 mm,dovel-solar-wall-hung-closet-white-,2,7,uploads/catalog/product/DOVEL/Dovel Solar Wall Hung Toilet (White).jpg,,,,,3450,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132224,TRUE,2751,Dovel Rado One Piece Wash Basin (White),ONE PIECE WASH BASIN,RADO,DOVEL,62834e7eaff84f6680ff9665,1000,4000,L 390 W 375 H 310 mm,dovel-rado-one-piece-wash-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Rado One Piece Wash Basin (White).jpg,,,,,4000,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132225,TRUE,2752,Dovel Palzma Table Top Basin (White),TABLE TOP BASIN,PLAZMA,DOVEL,62834e7eaff84f6680ff9665,1000,3500,L 610 W 465 H 170 mm,dovel-palzma-table-top-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Palzma Table Top Basin (White).jpg,,,,,3500,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132226,TRUE,2753,Dovel Salsa Counter Basin (White),COUNTER BASIN,SALSA,DOVEL,62834e7eaff84f6680ff9665,1000,2400,L 505 W 385 H 175 mm,dovel-salsa-counter-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Salsa Counter Basin (White).jpg,,,,,2400,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132227,TRUE,2754,Dovel Duck Wall Hung Basin (White),WALL HUNG BASIN,DUCK,DOVEL,62834e7eaff84f6680ff9665,1000,620,L 460 W 315 H 190 mm,dovel-duck-wall-hung-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Duck Wall Hung Basin (White).jpg,,,,,620,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132228,TRUE,2755,Dovel Royal Wall Hung Basin (White),WALL HUNG BASIN,ROYAL,DOVEL,62834e7eaff84f6680ff9665,1000,820,L 475 W 370 H 180 mm,dovel-royal-wall-hung-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Royal Wall Hung Basin (White).jpg,,,,,760,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132229,TRUE,2756,Dovel Donza Table Top Basin (White),TABLE TOP BASIN,DONZA -F,DOVEL,62834e7eaff84f6680ff9665,1000,3400,,dovel-donza-table-top-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Donza Table Top Basin (White).jpg,,,,,3400,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a13222a,TRUE,2757,Dovel Cello One Piece Wash Basin (White),ONE PIECE WASH BASIN,CELLO-OPC,DOVEL,62834e7eaff84f6680ff9665,1000,4400,L 470 W 435 H 365 mm,dovel-cello-one-piece-wash-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Cello One Piece Wash Basin (White).jpg,,,,,0,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a13222b,TRUE,2758,Dovel Cello Under Counter Basin (White),COUNTER BASIN,CELLO,DOVEL,62834e7eaff84f6680ff9665,1000,2500,L 610 W 390 H 180 mm,dovel-cello-under-counter-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Cello Under Counter Basin (White).jpg,,,,,2500,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a13222c,TRUE,2759,Dovel Camry Under Counter Basin (White),COUNTER BASIN,CAMRY,DOVEL,62834e7eaff84f6680ff9665,1000,2400,L 470 W 350 H 200 mm,dovel-camry-under-counter-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Camry Under Counter Basin (White).jpg,,,,,2400,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a13222d,TRUE,2760,Dovel Cipla Wall Hung Basin (White),WALL HUNG BASIN,CIPLA,DOVEL,62834e7eaff84f6680ff9665,1000,1100,L 405 W 220 H 120 mm,dovel-cipla-wall-hung-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Cipla Wall Hung Basin (White).jpg,,,,,1000,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a13222e,TRUE,2761,Dovel Eva Wall Hung Basin (White),WALL HUNG BASIN,EVA,DOVEL,62834e7eaff84f6680ff9665,1000,1100,L 370 W 260 H 145 mm,dovel-eva-wall-hung-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Eva Wall Hung Basin (White).jpg,,,,,1000,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a13222f,TRUE,2762,Dovel Opera Wall Hung Basin (White),WALL HUNG BASIN,OPERA,DOVEL,62834e7eaff84f6680ff9665,1000,1100,L 320 W 315 H 130 mm,dovel-opera-wall-hung-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Opera Wall Hung Basin (White).jpg,,,,,1000,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132230,TRUE,2763,Dovel Gala Wall Hung Basin (White),WALL HUNG BASIN,GALA,DOVEL,62834e7eaff84f6680ff9665,1000,2100,L 415 W 380 H 125 mm,dovel-gala-wall-hung-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Gala Wall Hung Basin (White).jpg,,,,,0,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132231,TRUE,2764,Dovel Altis Rectangle Wall Hung Basin (White),WALL HUNG BASIN,ALTIS-Wall Hung,DOVEL,62834e7eaff84f6680ff9665,1000,1300,L 450 W 350 H 135 mm,dovel-altis-wall-hung-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Altis Wall Hung Basin (White).jpg,,,,,0,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132232,TRUE,2765,Dovel Crystal Wall Hung Basin (White),WALL HUNG BASIN,CRYSTAL-WALL HUNG,DOVEL,62834e7eaff84f6680ff9665,1000,1300,L 465 W 355 H 155 mm,dovel-crystal-wall-hung-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Crystal Wall Hung Basin (White).jpg,,,,,0,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132233,TRUE,2766,Dovel Croma Under Counter Basin (White),COUNTER BASIN,CROMA,DOVEL,62834e7eaff84f6680ff9665,1000,1470,L 560 W 440 H 215 mm,dovel-croma-under-counter-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Croma Under Counter Basin (White).jpg,,,,,1470,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132234,TRUE,2767,Dovel Bela One Piece Wash Basin (White),ONE PIECE WASH BASIN,BELA,DOVEL,62834e7eaff84f6680ff9665,1000,5000,L 475 W 410 H 330 mm,dovel-bela-one-piece-wash-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Bela One Piece Wash Basin (White).jpg,,,,,0,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132235,TRUE,2768,Dovel Real Counter Basin (White),COUNTER BASIN,REAL,DOVEL,62834e7eaff84f6680ff9665,1000,1200,,dovel-real-counter-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Real Counter Basin (White).png,,,,,1200,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132236,TRUE,2769,Dovel Polo One Piece Wash Basin (White),ONE PIECE WASH BASIN,POLO,DOVEL,62834e7eaff84f6680ff9665,1000,7000,L 520 W 485 H 375 mm,dovel-polo-one-piece-wash-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Polo One Piece Wash Basin (White).jpg,,,,,7000,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132237,TRUE,2770,Dovel Sink Counter Basin (White),COUNTER BASIN,SINK,DOVEL,62834e7eaff84f6680ff9665,1000,3300,L 600 W 450 H 250 mm,dovel-sink-counter-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Sink Counter Basin (White).jpg,,,,,3300,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132238,FALSE,2771,Dovel Sobar One Piece Wash Basin (White),ONE PIECE WASH BASIN,SOBAR,DOVEL,62834e7eaff84f6680ff9665,1000,11111,L 425 W 425 H 800 mm,dovel-sobar-one-piece-wash-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Sobar One Piece Wash Basin (White).jpg,,,,,0,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132239,TRUE,2772,Dovel Dove One Piece Wash Basin (White),ONE PIECE WASH BASIN,DOVE,DOVEL,62834e7eaff84f6680ff9665,1000,5000,L 485 W 405 H 310 mm,dovel-dove-one-piece-wash-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Dove One Piece Wash Basin (White).jpg,,,,,5000,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a13223a,TRUE,2773,Dovel Slice One Piece Wash Basin (White),ONE PIECE WASH BASIN,SLICE,DOVEL,62834e7eaff84f6680ff9665,1000,3500,L 350 W 355 H 285 mm,dovel-slice-one-piece-wash-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Slice One Piece Wash Basin (White).jpg,,,,,3400,0,0,0,TRUE,TRUE,TRUE,,,
